group,scenario,treatment,seeds,mean_regret,stderr_regret,ci95,optimal_share,nanos_per_decision
sampler,easy,exact,50,7.9380,0.4527,0.8873,0.9964,394.9
sampler,easy,mean+gaussian,50,10.4090,0.5846,1.1459,0.9952,202.4
sampler,easy,mean+uniform,50,2.5270,0.6656,1.3046,0.9987,105.4
sampler,easy,concentration-switched,50,2.5270,0.6656,1.3046,0.9987,148.1
sampler,easy,miscoded-gamma,50,13.2230,0.6669,1.3071,0.9940,407.6
sampler,easy,deterministic,50,179.0390,74.8202,146.6475,0.8980,100.6
sampler,hard,exact,50,159.7152,10.7825,21.1337,0.7412,611.5
sampler,hard,mean+gaussian,50,171.4218,12.8497,25.1855,0.7051,291.2
sampler,hard,mean+uniform,50,383.3940,23.9691,46.9795,0.3978,133.2
sampler,hard,concentration-switched,50,250.8004,37.3817,73.2682,0.5624,198.9
sampler,hard,miscoded-gamma,50,223.5574,9.1560,17.9457,0.6364,651.0
sampler,hard,deterministic,50,493.1832,47.9706,94.0225,0.2586,115.0
sampler,drift,exact,50,1330.2700,70.3126,137.8127,0.8214,397.6
sampler,drift,mean+gaussian,50,1715.1760,118.3593,231.9843,0.7696,197.0
sampler,drift,mean+uniform,50,3055.2960,148.9541,291.9499,0.5829,106.3
sampler,drift,concentration-switched,50,3414.7740,84.8986,166.4012,0.5361,143.5
sampler,drift,miscoded-gamma,50,1248.0160,51.9046,101.7331,0.8315,408.5
sampler,drift,deterministic,50,3810.7920,29.1421,57.1186,0.4599,99.4
sampler,churn,exact,50,28.1780,3.3225,6.5120,0.9598,460.2
sampler,churn,mean+gaussian,50,30.1280,3.3222,6.5115,0.9536,232.4
sampler,churn,mean+uniform,50,397.8620,106.5744,208.8859,0.7696,112.1
sampler,churn,concentration-switched,50,539.2050,112.5010,220.5020,0.7251,168.5
sampler,churn,miscoded-gamma,50,46.1770,3.0580,5.9936,0.9322,487.7
sampler,churn,deterministic,50,1462.7430,95.3990,186.9821,0.3504,105.8
warm-start,churn,cold,50,28.1780,3.3225,6.5120,0.9598,473.3
warm-start,churn,fixed-optimistic,50,27.0270,1.6911,3.3146,0.9626,462.2
warm-start,churn,family-similarity,50,35.2750,1.6668,3.2670,0.9594,465.2
warm-start,treadmill,cold,50,44.0210,0.9819,1.9245,0.9815,891.0
warm-start,treadmill,fixed-optimistic,50,59.3496,0.7682,1.5057,0.9750,854.1
warm-start,treadmill,family-similarity,50,45.3922,0.8006,1.5692,0.9809,850.4
warm-start-approx,churn,cold,50,397.8620,106.5744,208.8859,0.7696,116.1
warm-start-approx,churn,fixed-optimistic,50,43.9990,3.1788,6.2305,0.9212,123.6
warm-start-approx,churn,family-similarity,50,126.1590,38.6304,75.7156,0.8898,147.6
warm-start-approx,treadmill,cold,50,4.8570,0.9611,1.8838,0.9979,175.0
warm-start-approx,treadmill,fixed-optimistic,50,22.5642,0.7996,1.5672,0.9905,177.3
warm-start-approx,treadmill,family-similarity,50,10.1554,0.7220,1.4152,0.9957,170.2
selection,easy,thompson,50,7.9380,0.4527,0.8873,0.9964,411.5
selection,easy,ucb-regularized,50,31.6820,0.0439,0.0860,0.9879,417.2
selection,easy,phased,50,52.5140,0.0098,0.0192,0.9800,402.2
selection,hard,thompson,50,159.7152,10.7825,21.1337,0.7412,634.9
selection,hard,ucb-regularized,50,164.5114,9.1798,17.9924,0.7098,631.0
selection,hard,phased,50,143.3358,9.8237,19.2545,0.7516,646.8
selection,churn,thompson,50,28.1780,3.3225,6.5120,0.9598,479.0
selection,churn,ucb-regularized,50,27.4660,2.0892,4.0948,0.9625,490.4
selection,churn,phased,50,36.1890,2.6147,5.1248,0.9532,497.5
update-rule,graded,binarize@0.6,50,1289.3330,106.4930,208.7264,0.4845,400.0
update-rule,graded,bernoulli,50,8.0530,0.6126,1.2007,0.9975,407.1
update-rule,graded,fractional,50,6.8880,0.0705,0.1383,0.9979,473.9
discount,drift,none,50,1330.2700,70.3126,137.8127,0.8214,393.7
discount,drift,0.999,50,224.8860,5.2827,10.3540,0.9651,399.6
discount,drift,0.99,50,516.9220,3.3175,6.5024,0.9080,404.9
